Review ID,Effect Size ID,Within Effect ID,Study Author,Study Year,Study First Page #,Study N,Estimate,Metric,Lower CI,Upper CI,Standard Error,Standard Deviation,Variance,p-value,N Intervention,N Control,Number of Events in Exposure(for OR/RR),Number of Events in Comparison (for OR/RR),Reverse Code
47837,47837_001,47837_001_005,Mitchell,2016,767,101,0.05,Standard Mean Difference,-0.39,0.48,-999,-999,-999,-999,51,50,-999,-999,FALSE
47837,47837_001,47837_001_006,Staiano,2017,4,37,0.6,Standard Mean Difference,-0.06,1.27,-999,-999,-999,-999,19,18,-999,-999,FALSE
47837,47837_001,47837_001_007,Trost,2014,407,75,1.82,Standard Mean Difference,1.22,2.41,-999,-999,-999,-999,34,41,-999,-999,FALSE
47837,47837_002,47837_002_001,Bacque,2017,722,60,-0.18,Standard Mean Difference,-0.79,0.42,-999,-999,-999,-999,30,30,-999,-999,TRUE
47837,47837_002,47837_002_002,Christison,2016,413,84,-0.24,Standard Mean Difference,-1.07,0.59,-999,-999,-999,-999,60,24,-999,-999,TRUE
47837,47837_002,47837_002_003,Maloney,2012,96,64,-1.02,Standard Mean Difference,-1.89,-0.15,-999,-999,-999,-999,33,31,-999,-999,TRUE
47837,47837_002,47837_002_004,Mitchell,2016,767,101,0.2,Standard Mean Difference,-0.24,0.63,-999,-999,-999,-999,51,50,-999,-999,TRUE
47837,47837_003,47837_003_001,Bacque,2017,722,60,0.1,Standard Mean Difference,-0.45,0.65,-999,-999,-999,-999,30,30,-999,-999,FALSE
47837,47837_003,47837_003_002,Mitchell,2016,767,101,0.45,Standard Mean Difference,0.03,0.87,-999,-999,-999,-999,51,50,-999,-999,FALSE
47837,47837_004,47837_004_001,Bacque,2017,722,60,0.14,Standard Mean Difference,-0.41,0.69,-999,-999,-999,-999,30,30,-999,-999,FALSE
47837,47837_004,47837_004_002,Mitchell,2016,767,101,0.73,Standard Mean Difference,0.3,1.16,-999,-999,-999,-999,51,50,-999,-999,FALSE
47837,47837_005,47837_005_001,Christison,2016,413,84,-0.16,Standard Mean Difference,-0.8,0.48,-999,-999,-999,-999,60,24,-999,-999,TRUE
47837,47837_005,47837_005_002,Maddison,2011,156,322,-0.25,Standard Mean Difference,-0.47,-0.04,-999,-999,-999,-999,160,162,-999,-999,TRUE
47484,47484_001,47484_001_001,Abraham,2015,e0125673,32,-0.308,Standard Mean Difference,-1.005,0.389,0.356,-999,0.126,0.386,16,16,-999,-999,TRUE
47484,47484_001,47484_001_002,Babic,2014,50,322,-0.003,Standard Mean Difference,-0.222,0.216,0.112,-999,0.012,0.978,155,167,-999,-999,TRUE
